LOCATION,Value
AUS,1.438507
AUT,0.893276
BEL,0.893276
CAN,1.326854
CZE,22.93225
DNK,6.669447
FIN,0.893276
FRA,0.893276
DEU,0.893276
GRC,0.893276
HUN,290.66
ISL,122.606774
IRL,0.893276
ITA,0.893276
JPN,109.009666
KOR,1165.498904
LUX,0.893276
MEX,19.263633
NLD,0.893276
NZL,1.517875
NOR,8.8
POL,3.839375
PRT,0.893276
SVK,0.893276
ESP,0.893276
SWE,9.458349
CHE,0.993841
TUR,5.673819
GBR,0.783445
USA,1
BRA,3.927342
CHL,702.897423
CHN,6.908385
COL,3280.831631
EST,0.893276
IND,70.419969
IDN,14147.67136
ISR,3.564527
RUS,64.737658
SVN,0.893276
ZAF,14.448427
EU28,0.893276
LVA,0.893276
LTU,0.893276
SAU,3.75
EA19,0.893276
ARG,48.147892
CRI,587.294596
BGR,1.747042
HRV,6.622545
CYP,0.893276
MLT,0.893276
ROU,4.237925
MKD,54.9472
